route_dir,route_id,direction_id,trip_id_representative,stop_sequence_canonical,stop_id,stop_name
12_0,12,0,12_D0_T001,28,HT_036,Dusun Kledokan - A
12_0,12,0,12_D0_T001,29,HT_173,RS Panti Nugroho
12_0,12,0,12_D0_T001,30,HT_248,Terminal Pakem
12_0,12,0,12_D0_T001,31,HT_181,SDN Percobaan 3 Pakem
12_0,12,0,12_D0_T001,32,HT_199,SMPN 4 Pakem
12_0,12,0,12_D0_T001,33,HT_036,Dusun Kledokan - A
12_0,12,0,12_D0_T001,34,HT_177,Raminten - A
12_0,12,0,12_D0_T001,35,HT_217,Simpang Degolan - A
12_0,12,0,12_D0_T001,36,HT_021,Boulevard UII
12_0,12,0,12_D0_T001,37,HT_021,Boulevard UII
12_0,12,0,12_D0_T001,38,HT_273,YAKKUM - A
12_0,12,0,12_D0_T001,39,HT_216,Simpang Besi Jakal - A
12_0,12,0,12_D0_T001,40,HT_176,RSU Gramedika - A
12_0,12,0,12_D0_T001,41,HT_182,SDN Selomulyo - A
12_0,12,0,12_D0_T001,42,HT_080,Kantor Kal. Sukoharjo - A
12_0,12,0,12_D0_T001,43,HT_099,Lap. Klidon - A
12_0,12,0,12_D0_T001,44,HT_203,SPBU Mindi - A
12_0,12,0,12_D0_T001,45,HT_224,Simpang Losari - A
12_0,12,0,12_D0_T001,46,HT_187,SMAN 2 Ngaglik - A
12_0,12,0,12_D0_T001,47,HT_252,Timur Jembatan Yapah - A
12_0,12,0,12_D0_T001,48,HT_255,Tugu Batas Desa Yapah - A
12_0,12,0,12_D0_T001,49,HT_166,Puskesmas Ngemplak - A
12_0,12,0,12_D0_T001,50,HT_136,Pasar Jangkang - A
13_0,13,0,13_D0_T001,0,HT_164,Pusat Kuliner Belut Godean
13_0,13,0,13_D0_T001,1,HT_083,Kantor Kap. Godean - A
13_0,13,0,13_D0_T001,2,HT_225,Simpang Mandungan (Iwak Kalen) - A
13_0,13,0,13_D0_T001,3,HT_092,Koramil Godean - A
13_0,13,0,13_D0_T001,4,HT_157,Polsek Godean - A
13_0,13,0,13_D0_T001,5,HT_124,Neutron Godean - A
13_0,13,0,13_D0_T001,6,HT_058,Indomaret Klajuran - A
13_0,13,0,13_D0_T001,7,HT_219,Simpang Gesikan - A
13_0,13,0,13_D0_T001,8,HT_226,Simpang Munggur - A
13_0,13,0,13_D0_T001,9,HT_215,Simpang Bantulan - A
13_0,13,0,13_D0_T001,10,HT_079,Kantor Kal. Sidoarum - A
13_0,13,0,13_D0_T001,11,HT_253,Toko Saerah - A
13_0,13,0,13_D0_T001,12,HT_117,Metro Nogotirto - A
13_0,13,0,13_D0_T001,13,HT_086,Kantor Pos Demak Ijo - A
13_0,13,0,13_D0_T001,14,HT_179,SDN 1 Demak Ijo - A
13_0,13,0,13_D0_T001,15,HT_149,Pasar Tlogorejo - A
13_0,13,0,13_D0_T001,16,HT_116,McD
13_0,13,0,13_D0_T001,17,HT_118,Mirota Godean - A
13_0,13,0,13_D0_T001,18,HT_006,BKD - A
13_0,13,0,13_D0_T001,19,HT_144,Pasar Pingit - A
13_0,13,0,13_D0_T001,20,HT_140,Pasar Kranggan Selatan
13_0,13,0,13_D0_T001,21,HT_065,Jend. Sudirman - A
13_0,13,0,13_D0_T001,22,HT_023,Bulog
13_0,13,0,13_D0_T001,23,HT_096,Kridosono
13_0,13,0,13_D0_T001,24,HT_040,Eks Menara Kopi - A
13_0,13,0,13_D0_T001,25,HT_110,Malioboro 1
13_0,13,0,13_D0_T001,26,HT_111,Malioboro 2
13_0,13,0,13_D0_T001,27,HT_112,Malioboro 3
13_0,13,0,13_D0_T001,28,HT_075,KHA Dahlan - A
13_0,13,0,13_D0_T001,29,HT_125,Ngabean
13_0,13,0,13_D0_T001,30,HT_147,Pasar Serangan - A
13_0,13,0,13_D0_T001,31,HT_186,SMAN 1 - A
13_0,13,0,13_D0_T001,32,HT_195,SMPN 11
13_0,13,0,13_D0_T001,33,HT_118,Mirota Godean - A
