trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
2A_D0_T017,2A,0,HT_194,HT_093,HT_194->HT_093,35,566.0,566.0,1.0,340.47727738871885
2A_D0_T017,2A,0,HT_093,HT_261,HT_093->HT_261,36,567.0,567.0,3.0,907.4055359813601
2A_D0_T017,2A,0,HT_261,HT_167,HT_261->HT_167,37,570.0,570.0,1.0,265.09766244700586
2A_D0_T017,2A,0,HT_167,HT_211,HT_167->HT_211,38,571.0,571.0,3.0,1514.9036317627479
2A_D0_T017,2A,0,HT_211,HT_167,HT_211->HT_167,39,574.0,574.0,2.0,1514.9036317627479
2A_D0_T018,2A,0,HT_119,HT_247,HT_119->HT_247,2,512.0,512.0,3.0,786.5138552047989
2A_D0_T018,2A,0,HT_247,HT_119,HT_247->HT_119,3,515.0,515.0,3.0,786.5138552047989
2A_D0_T018,2A,0,HT_119,HT_119,HT_119->HT_119,4,518.0,518.0,3.0,0.0
2A_D0_T018,2A,0,HT_119,HT_087,HT_119->HT_087,5,521.0,521.0,3.0,1508.035735182472
2A_D0_T018,2A,0,HT_087,HT_001,HT_087->HT_001,6,524.0,524.0,3.0,1317.3338472263626
2A_D0_T018,2A,0,HT_001,HT_077,HT_001->HT_077,7,527.0,527.0,2.0,9114.960753828795
2A_D0_T018,2A,0,HT_077,HT_114,HT_077->HT_114,8,529.0,529.0,1.0,9220.989634180785
2A_D0_T018,2A,0,HT_114,HT_115,HT_114->HT_115,9,530.0,530.0,1.0,326.14955245357993
2A_D0_T018,2A,0,HT_115,HT_110,HT_115->HT_110,10,531.0,531.0,3.0,355.4914927126207
2A_D0_T018,2A,0,HT_110,HT_111,HT_110->HT_111,11,534.0,534.0,1.0,489.4173089442673
2A_D0_T018,2A,0,HT_111,HT_112,HT_111->HT_112,12,535.0,535.0,2.0,524.6009096261446
2A_D0_T018,2A,0,HT_112,HT_213,HT_112->HT_213,13,537.0,537.0,1.0,286.70477084473055
2A_D0_T018,2A,0,HT_213,HT_089,HT_213->HT_089,14,538.0,538.0,3.0,275.5936740217007
2A_D0_T018,2A,0,HT_089,HT_162,HT_089->HT_162,15,541.0,541.0,2.0,1348.564099095273
2A_D0_T018,2A,0,HT_162,HT_205,HT_162->HT_205,16,543.0,543.0,4.0,1424.1083155458577
2A_D0_T018,2A,0,HT_205,HT_170,HT_205->HT_170,17,547.0,547.0,2.0,556.7940721946112
2A_D0_T018,2A,0,HT_170,HT_045,HT_170->HT_045,18,549.0,549.0,2.0,385.8136039822722
2A_D0_T018,2A,0,HT_045,HT_030,HT_045->HT_030,19,551.0,551.0,1.0,507.89582354847795
2A_D0_T018,2A,0,HT_030,HT_201,HT_030->HT_201,20,552.0,552.0,1.0,331.2009133454766
2A_D0_T018,2A,0,HT_201,HT_154,HT_201->HT_154,21,553.0,553.0,1.0,3810.61864048991
2A_D0_T018,2A,0,HT_154,HT_153,HT_154->HT_153,22,554.0,554.0,1.0,4207.027895809453
2A_D0_T018,2A,0,HT_153,HT_013,HT_153->HT_013,23,555.0,555.0,2.0,632.4285019720276
2A_D0_T018,2A,0,HT_013,HT_048,HT_013->HT_048,24,557.0,557.0,2.0,661.7346884160944
2A_D0_T018,2A,0,HT_048,HT_183,HT_048->HT_183,25,559.0,559.0,2.0,764.2459410846355
2A_D0_T018,2A,0,HT_183,HT_064,HT_183->HT_064,26,561.0,561.0,2.0,3572.0221276221964
