poi_id,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min
318,HT_033,Disnakertrans - A,556.2267581446479,6.952834476808098
301,,,,
71,HT_047,Gedung Wanita,102.32514662803223,1.2790643328504028
498,,,,
490,,,,
102,HT_151,Pegadaian,769.7258565991551,9.621573207489439
70,HT_154,Plengkung Gading - A,645.2969560367865,8.06621195045983
341,HT_111,Malioboro 2,249.25137360370258,3.115642170046282
360,HT_260,UNU,129.33761604912206,1.6167202006140258
338,HT_003,Ambarukmo - A,988.6469264072276,12.358086580090346
28,HT_066,Jl. Mataram,221.56373973087852,2.7695467466359815
136,,,,
455,,,,
431,,,,
237,HT_250,Terminal Prambanan,459.3549346848593,5.741936683560741
203,HT_253,Toko Saerah - A,378.19942652993973,4.727492831624247
277,,,,
495,,,,
73,HT_003,Ambarukmo - A,120.48558800137393,1.506069850017174
112,HT_160,Prayan - A,70.94042555600736,0.8867553194500919
258,,,,
500,,,,
195,,,,
388,,,,
241,,,,
313,,,,
340,HT_129,Pakualaman,93.2933227356777,1.1661665341959713
161,,,,
278,,,,
355,HT_118,Mirota Godean - A,628.3890949587948,7.854863686984935
101,HT_151,Pegadaian,725.684002424693,9.071050030308662
93,,,,
250,,,,
253,,,,
151,,,,
77,HT_222,Simpang Kasongan - A,915.7910987119207,11.447388733899007
83,HT_135,Pasar Giwangan - A,750.7391499667119,9.384239374583899
160,,,,
137,,,,
387,,,,
109,HT_158,Poltekkes BSI,188.29573629586466,2.3536967036983083
349,HT_163,Purawisata - A,329.7950877000266,4.1224385962503325
300,,,,
260,HT_267,Wedangan Kampoeng - A,280.1921340819219,3.5024016760240237
484,,,,
97,HT_010,Babarsari - A,614.1385265464185,7.67673158183023
146,,,,
154,,,,
135,,,,
259,HT_250,Terminal Prambanan,818.9133053370181,10.236416316712726
116,HT_238,TVRI - A,683.4253867626538,8.542817334533172
459,,,,
298,,,,
95,HT_163,Purawisata - A,593.3706643036821,7.417133303796026
247,,,,
321,HT_185,SMA N 5,423.20714413164677,5.290089301645585
58,HT_112,Malioboro 3,234.2629664405715,2.9282870805071437
252,,,,
273,,,,
503,,,,
392,,,,
113,,,,
505,,,,
323,HT_151,Pegadaian,941.5444522181324,11.769305652726654
295,,,,
118,HT_018,Biologi UGM,619.487826839825,7.743597835497812
440,,,,
290,,,,
264,HT_138,Pasar Kalasan - A,994.155270475096,12.4269408809387
314,,,,
330,HT_251,Timoho - A,328.32860329817026,4.104107541227128
246,,,,
120,HT_002,APMD - A,347.6132670543476,4.345165838179345
303,,,,
266,,,,
436,,,,
317,,,,
337,HT_047,Gedung Wanita,294.64956694164795,3.6831195867705993
310,,,,
430,HT_242,Tegal Gendu - A,580.5316619968489,7.256645774960612
494,,,,
94,HT_240,Tamansari,97.30938538446483,1.2163673173058105
85,HT_239,Taman Pintar,172.4600288729291,2.1557503609116138
293,,,,
163,,,,
194,HT_218,Simpang Diklat DIY - A,351.7986566019914,4.397483207524893
99,HT_112,Malioboro 3,38.03754362272986,0.4754692952841232
159,,,,
152,,,,
299,,,,
148,,,,
50,HT_118,Mirota Godean - A,581.709384963101,7.2713673120387625
65,HT_222,Simpang Kasongan - A,854.1597418677067,10.676996773346334
104,HT_163,Purawisata - A,456.47250585346256,5.705906323168282
502,,,,
336,HT_204,SPBU Monjali - A,247.37619855971866,3.092202481996483
456,,,,
499,,,,
256,,,,
100,HT_240,Tamansari,401.11409970164686,5.013926246270586
206,,,,
173,,,,
485,,,,
270,,,,
115,HT_071,Jogjatronik,310.4567928128237,3.8807099101602964
481,,,,
342,HT_118,Mirota Godean - A,207.3547434236293,2.591934292795366
211,,,,
291,,,,
478,,,,
280,,,,
265,HT_267,Wedangan Kampoeng - A,462.69632874421563,5.783704109302695
86,HT_163,Purawisata - A,516.3540743855202,6.454425929819003
88,HT_123,Museum Perjuangan,150.05794210287348,1.8757242762859185
72,HT_122,Museum Biologi,289.0496369181698,3.6131204614771226
479,,,,
210,,,,
208,,,,
209,,,,
292,,,,
140,,,,
139,,,,
105,HT_194,SMPN 1 - A,150.96315037631615,1.887039379703952
110,HT_013,Banguntapan - A,175.55390636275996,2.1944238295344993
164,,,,
443,,,,
540,,,,
541,,,,
550,,,,
551,,,,
552,,,,
