segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_198->HT_204,2.0,2.0,42,2.0,2.0,12,1.0
HT_199->HT_036,2.0,2.0,60,2.0,2.0,12,1.0
HT_200->HT_088,3.0,3.0,31,3.0,3.0,5B,3.0
HT_201->HT_154,1.0,1.0,69,1.0,1.0,2A,2.0
HT_202->HT_160,1.0,1.3636363636363635,66,1.0,2.0,12,1.0
HT_203->HT_099,1.0,1.0,30,1.0,1.0,14,1.0
HT_203->HT_224,1.0,1.0,60,1.0,1.0,12,1.0
HT_204->HT_267,3.0,2.5916666666666663,42,2.0,3.902499999999992,12,1.0
HT_205->HT_027,2.0,2.0,37,2.0,2.0,8,2.0
HT_205->HT_159,2.0,2.0,24,2.0,2.0,4B,2.0
HT_205->HT_170,2.0,2.0,69,2.0,2.0,2A,2.0
HT_206->HT_010,2.0,2.0,31,2.0,2.0,5B,3.0
HT_207->HT_010,3.0,3.0,67,3.0,3.0,1B,2.0
HT_208->HT_174,4.0,3.4607843137254903,102,2.0,4.0,2B,2.0
HT_209->HT_102,2.0,2.0,53,2.0,2.0,9,3.0
HT_209->HT_194,1.0,1.0,196,1.0,1.0,2B,2.0
HT_210->HT_028,2.0,2.0,72,2.0,2.0,1B,2.0
HT_210->HT_208,2.0,1.5980392156862746,102,1.0,2.0,2B,2.0
HT_211->HT_167,2.0,2.0,69,2.0,2.0,2A,2.0
HT_211->HT_210,3.0,3.0,48,3.0,3.0,1B,2.0
HT_211->HT_245,5.0,5.0,48,5.0,5.0,1B,2.0
HT_212->HT_012,4.0,4.0,66,4.0,4.0,3B,2.0
HT_213->HT_016,3.0,3.0,48,3.0,3.0,1B,2.0
HT_213->HT_075,3.0,3.0,60,3.0,3.0,2B,2.0
HT_213->HT_089,3.0,3.0,69,3.0,3.0,2A,2.0
HT_213->HT_129,4.0,4.0,85,4.0,4.0,1A,2.0
HT_213->HT_205,1.0,1.0,37,1.0,1.0,8,2.0
HT_213->HT_235,2.0,1.6759259259259258,108,1.0,2.0,15,2.0
HT_214->HT_228,1.0,1.0,30,1.0,1.0,14,1.0
HT_215->HT_079,2.0,1.8076923076923077,26,1.0,2.0,13,2.0
HT_215->HT_226,2.0,1.88,25,1.0,2.0,13,2.0
HT_216->HT_176,1.0,1.0,60,1.0,1.0,12,1.0
HT_216->HT_273,1.0,1.0,70,1.0,1.0,12,1.0
HT_217->HT_021,1.0,1.0,60,1.0,1.0,12,1.0
HT_217->HT_177,2.0,2.177777777777778,72,1.0,3.2025000000000023,12,1.0
HT_218->HT_047,2.0,2.0,46,2.0,2.0,6,2.0
HT_219->HT_024,3.0,3.0,107,3.0,3.0,1B,2.0
HT_219->HT_058,3.0,2.56,25,2.0,3.0,13,2.0
HT_219->HT_226,1.0,1.0,19,1.0,1.0,13,2.0
HT_220->HT_254,1.0,1.0,73,1.0,1.0,15,2.0
HT_221->HT_067,1.0,1.0,30,1.0,1.0,14,1.0
HT_222->HT_085,2.0,2.0,73,2.0,2.0,15,2.0
HT_222->HT_142,2.0,2.0,73,2.0,2.0,15,2.0
HT_223->HT_085,2.0,2.0,73,2.0,2.0,15,2.0
HT_223->HT_136,1.0,1.0366666666666664,30,1.0,1.3024999999999969,14,1.0
HT_223->HT_197,3.0,3.0,73,3.0,3.0,15,2.0
HT_224->HT_187,1.0,1.0,56,1.0,1.0,12,1.0
HT_224->HT_203,1.0,1.0,30,1.0,1.0,14,1.0
HT_225->HT_083,1.0,1.0,22,1.0,1.0,13,2.0
HT_225->HT_092,1.0,1.0,21,1.0,1.0,13,2.0
HT_226->HT_215,2.0,1.8461538461538463,26,1.0,2.0,13,2.0
HT_226->HT_219,2.0,1.68,25,1.0,2.0,13,2.0
HT_227->HT_084,2.0,2.0,42,2.0,2.0,12,1.0
HT_228->HT_221,1.0,1.0,30,1.0,1.0,14,1.0
HT_229->HT_076,4.0,4.0,29,4.0,4.0,9,3.0
HT_230->HT_231,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_231->HT_069,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_232->HT_077,2.0,2.0,35,2.0,2.0,3B,2.0
HT_232->HT_206,4.0,4.0,31,4.0,4.0,5B,3.0
HT_233->HT_139,2.0,2.357142857142857,42,2.0,3.0,12,1.0
HT_234->HT_044,1.0,1.0,24,1.0,1.0,4B,2.0
HT_234->HT_168,2.0,2.2672413793103448,116,2.0,3.0,1A,2.0
HT_234->HT_234,1.0,1.0,85,1.0,1.0,1A,2.0
HT_235->HT_014,2.0,2.0,60,2.0,2.0,2B,2.0
HT_235->HT_038,1.0,1.0,69,1.0,1.0,2A,2.0
HT_235->HT_077,5.0,5.057142857142857,35,4.0,6.0,10,2.0
HT_235->HT_110,2.0,2.0,73,2.0,2.0,15,2.0
HT_235->HT_151,2.0,2.0,35,2.0,2.0,3B,2.0
HT_235->HT_161,2.0,2.0,46,2.0,2.0,6,2.0
HT_236->HT_210,2.0,2.484848484848485,66,2.0,3.0,12,1.0
HT_237->HT_191,2.0,1.5714285714285714,35,1.0,2.0,10,2.0
HT_237->HT_241,2.0,2.0,35,2.0,2.0,10,2.0
HT_238->HT_025,4.0,4.0,22,4.0,4.0,L-1,2.0
HT_238->HT_088,2.0,1.6857142857142857,70,1.0,2.0,9,3.0
HT_239->HT_235,2.0,2.0,46,2.0,2.0,6,2.0
HT_240->HT_075,5.0,4.527777777777778,108,3.0,5.0,15,2.0
HT_240->HT_125,2.0,2.0,118,2.0,2.0,6,2.0
HT_240->HT_147,7.0,5.6415094339622645,53,4.0,7.0,9,3.0
HT_241->HT_171,1.0,1.0,66,1.0,1.0,3B,2.0
HT_241->HT_192,2.0,1.6,35,1.0,2.0,10,2.0
HT_242->HT_050,1.0,1.0,35,1.0,1.0,3B,2.0
HT_242->HT_097,3.0,3.0,57,3.0,3.0,3A,2.0
HT_243->HT_050,2.0,2.0,57,2.0,2.0,3A,2.0
HT_243->HT_126,2.0,2.0,35,2.0,2.0,3B,2.0
HT_244->HT_042,2.0,2.0,31,2.0,2.0,5B,3.0
HT_244->HT_119,7.0,7.0,19,7.0,7.0,5A,2.5
HT_245->HT_113,4.0,4.0,76,4.0,4.0,3A,2.0
HT_245->HT_202,2.0,1.5909090909090908,66,1.0,2.0,12,1.0
HT_245->HT_211,4.0,4.0,48,4.0,4.0,1B,2.0
HT_245->HT_241,2.0,2.4696969696969697,66,2.0,3.0,3B,2.0
HT_246->HT_135,4.0,3.4074074074074074,81,2.0,4.0,3A,2.0
HT_247->HT_057,3.0,3.0,22,3.0,3.0,L-1,2.0
HT_247->HT_070,3.0,3.0,29,3.0,3.0,9,3.0
HT_247->HT_119,3.0,3.0,129,3.0,3.0,2A,2.0
HT_248->HT_181,2.0,11.200000000000001,39,1.0,68.09,14,1.0
HT_250->HT_037,2.0,2.0,85,2.0,2.0,1A,2.0
HT_251->HT_191,2.0,2.0,24,2.0,2.0,4A,2.0
HT_252->HT_187,1.0,1.0,30,1.0,1.0,14,1.0
HT_252->HT_255,1.0,1.1333333333333333,60,1.0,2.0,12,1.0
HT_253->HT_079,1.0,1.0,25,1.0,1.0,13,2.0
HT_253->HT_117,3.0,2.6153846153846154,26,2.0,3.0,13,2.0
HT_254->HT_133,1.0,1.0,73,1.0,1.0,15,2.0
HT_254->HT_220,1.0,1.0,73,1.0,1.0,15,2.0
HT_255->HT_166,1.0,1.2,60,1.0,2.0,12,1.0
HT_255->HT_252,1.0,1.0,30,1.0,1.0,14,1.0
HT_256->HT_002,2.0,2.0,24,2.0,2.0,4A,2.0
HT_256->HT_047,1.0,1.0,24,1.0,1.0,4B,2.0
HT_257->HT_168,2.0,2.0,24,2.0,2.0,4A,2.0
HT_258->HT_098,2.0,2.0,46,2.0,2.0,6,2.0
HT_258->HT_258,2.0,2.0,46,2.0,2.0,6,2.0
HT_258->HT_264,2.0,2.0,46,2.0,2.0,6,2.0
HT_259->HT_022,1.0,1.0,30,1.0,1.0,14,1.0
HT_260->HT_269,1.0,1.0,57,1.0,1.0,3A,2.0
HT_261->HT_028,1.0,1.0,19,1.0,1.0,5A,2.5
HT_261->HT_167,1.0,1.4102564102564104,117,1.0,2.0,2A,2.0
HT_262->HT_109,2.0,2.0,24,2.0,2.0,4A,2.0
HT_263->HT_268,3.0,3.0,37,3.0,3.0,8,2.0
HT_264->HT_011,2.0,2.0,46,2.0,2.0,6,2.0
HT_264->HT_050,2.0,2.0,24,2.0,2.0,4A,2.0
HT_265->HT_150,1.0,1.0,60,1.0,1.0,2B,2.0
HT_266->HT_042,1.0,1.24,100,1.0,2.0,12,1.0
HT_267->HT_216,1.0,1.0,42,1.0,1.0,12,1.0
HT_268->HT_077,2.0,2.0,37,2.0,2.0,8,2.0
HT_268->HT_213,2.0,2.0,37,2.0,2.0,8,2.0
HT_269->HT_103,2.0,2.0,35,2.0,2.0,3B,2.0
HT_269->HT_270,2.0,2.0,57,2.0,2.0,3A,2.0
HT_270->HT_243,3.0,3.0,57,3.0,3.0,3A,2.0
HT_271->HT_069,2.0,1.6,120,1.0,2.0,1B,2.0
HT_272->HT_007,1.0,1.0,83,1.0,1.0,1B,2.0
HT_273->HT_021,5.0,4.5,72,3.0,7.0,12,1.0
HT_273->HT_216,1.0,1.0,60,1.0,1.0,12,1.0
