segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_048->HT_183,2.0,2.0,117,2.0,2.0,2A,2.0
HT_049->HT_035,2.0,2.0,73,2.0,2.0,15,2.0
HT_049->HT_240,4.0,4.0,102,4.0,4.0,15,2.0
HT_050->HT_108,2.0,2.0,48,2.0,2.0,4A,2.0
HT_050->HT_135,3.0,2.907142857142857,140,2.0,4.0,3A,2.0
HT_050->HT_242,2.0,2.0,57,2.0,2.0,3A,2.0
HT_050->HT_243,2.0,2.0,35,2.0,2.0,3B,2.0
HT_051->HT_101,2.0,2.0,24,2.0,2.0,4A,2.0
HT_051->HT_129,2.0,2.0,24,2.0,2.0,4B,2.0
HT_052->HT_090,2.0,2.0,24,2.0,2.0,4A,2.0
HT_052->HT_233,2.0,2.238095238095238,42,2.0,3.0,12,1.0
HT_053->HT_178,1.0,1.0,24,1.0,1.0,11,3.0
HT_054->HT_020,2.0,2.0,60,2.0,2.0,2B,2.0
HT_054->HT_088,3.0,3.0,29,3.0,3.0,9,3.0
HT_054->HT_095,2.0,2.0,22,2.0,2.0,L-1,2.0
HT_054->HT_140,5.0,5.0,22,5.0,5.0,L-1,2.0
HT_055->HT_052,1.0,1.3692307692307693,65,1.0,2.0,12,1.0
HT_055->HT_090,4.0,4.0,66,4.0,4.0,3B,2.0
HT_056->HT_064,2.0,2.0,151,2.0,2.0,1A,2.0
HT_057->HT_070,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_058->HT_124,1.0,1.0,21,1.0,1.0,13,2.0
HT_058->HT_219,2.0,1.6923076923076923,26,1.0,2.0,13,2.0
HT_059->HT_081,1.0,1.0,30,1.0,1.0,14,1.0
HT_060->HT_077,2.0,2.0,35,2.0,2.0,3B,2.0
HT_060->HT_156,2.0,2.0,57,2.0,2.0,3A,2.0
HT_061->HT_019,2.0,2.0,85,2.0,2.0,1A,2.0
HT_062->HT_063,2.0,2.283582089552239,67,2.0,3.0,1B,2.0
HT_062->HT_071,4.0,4.0,116,4.0,4.0,1A,2.0
HT_062->HT_258,2.0,2.0,46,2.0,2.0,6,2.0
HT_063->HT_068,2.0,2.0,105,2.0,2.0,3A,2.0
HT_063->HT_077,2.0,2.0,85,2.0,2.0,1A,2.0
HT_063->HT_207,2.0,2.0,19,2.0,2.0,5A,2.5
HT_064->HT_004,2.0,2.0,69,2.0,2.0,2A,2.0
