stop_id,stop_name,lat,lon,source_rows
HT_143,Pasar Pathuk,-7.795994,110.361866,1
HT_144,Pasar Pingit - A,-7.782809,110.358762,1
HT_145,Pasar Sentul,-7.801717,110.37677,1
HT_146,Pasar Sepeda,-7.816358,110.380364,1
HT_147,Pasar Serangan - A,-7.801112,110.354235,1
HT_148,Pasar Telo - A,-7.824382,110.373324,1
HT_149,Pasar Tlogorejo - A,-7.778808,110.339471,1
HT_150,Pasty - A,-7.825689,110.354483,1
HT_151,Pegadaian,-7.822774,110.400174,1
HT_152,Pelem Gurih - A,-7.799896,110.330616,1
HT_153,Pilar,-7.813484,110.402084,1
HT_154,Plengkung Gading - A,-7.814171,110.363901,1
HT_155,Polres Bantul,-7.889805,110.326512,1
HT_156,Polsek Depok Timur - A,-7.762567,110.415507,1
HT_157,Polsek Godean - A,-7.771561,110.30907,1
HT_158,Poltekkes BSI,-7.814373,110.402114,1
HT_159,Pramuka,-7.818518,110.387374,1
HT_160,Prayan - A,-7.763473,110.393585,1
HT_161,Progo,-7.798033,110.369306,1
HT_162,Pujokusuman,-7.814821,110.37006,1
HT_163,Purawisata - A,-7.80877,110.369129,1
HT_164,Pusat Kuliner Belut Godean,-7.767618,110.293516,1
HT_165,Puskesmas Ngaglik - A,-7.721894,110.402556,1
HT_166,Puskesmas Ngemplak - A,-7.702928,110.444678,1
HT_167,RRI Gejayan,-7.779508,110.388322,1
HT_168,RS Bethesda,-7.783037,110.378017,1
HT_169,RS Hardjolukito,-7.797367,110.41002,1
HT_170,RS Hidayatullah,-7.815604,110.387793,1
HT_171,RS JIH,-7.758875,110.403075,1
HT_172,RS Kemasan - A,-7.713281,110.448042,1
HT_173,RS Panti Nugroho,-7.669267,110.417594,1
HT_174,RS Panti Rapih,-7.776251,110.37822,1
HT_175,RS Sardjito - A,-7.767817,110.374276,1
HT_176,RSU Gramedika - A,-7.70113,110.416987,1
HT_177,Raminten - A,-7.675976,110.417261,1
HT_178,Ruba Graha - A,-7.820883,110.361994,1
HT_179,SDN 1 Demak Ijo - A,-7.778221,110.336809,1
HT_180,SDN 1 Depok - B,-7.760914,110.432945,1
HT_181,SDN Percobaan 3 Pakem,-7.668404,110.417696,1
HT_182,SDN Selomulyo - A,-7.702391,110.420716,1
HT_183,SGM Kusumanegara - A,-7.802084,110.393031,1
HT_184,SMA Muh 3,-7.80673,110.350539,1
HT_185,SMA N 5,-7.822557,110.399158,1
HT_186,SMAN 1 - A,-7.799353,110.352117,1
HT_187,SMAN 2 Ngaglik - A,-7.704858,110.43501,1
HT_188,SMAN 7,-7.813417,110.358131,1
HT_189,SMK Seni - A,-7.814457,110.34899,1
HT_190,SMKN 1 Depok - Jl. Raya Tajem - A,-7.765242,110.431485,1
HT_191,SMKN 5 - A,-7.800357,110.395063,1
HT_192,SMP Kanisius Gayam - A,-7.795822,110.377749,1
HT_193,SMP Muh 3,-7.802916,110.351402,1
HT_194,SMPN 1 - A,-7.777468,110.375811,1
HT_195,SMPN 11,-7.792973,110.353401,1
HT_196,SMPN 14,-7.786576,110.359987,1
HT_197,SMPN 2 Bantul - A,-7.874332,110.335823,1
HT_198,SMPN 2 Ngaglik - A,-7.715823,110.40604,1
HT_199,SMPN 4 Pakem,-7.669215,110.417642,1
HT_200,SMPN 6,-7.778079,110.366993,1
HT_201,SMPN 9 - A,-7.819796,110.398023,1
HT_202,SPBU Concat - A,-7.759985,110.394935,1
HT_203,SPBU Mindi - A,-7.704862,110.431029,1
HT_204,SPBU Monjali - A,-7.760138,110.369535,1
HT_205,STIE Kerjasama,-7.816663,110.382853,1
