rank,origin_stop_id,origin_stop_name,depart_hhmm,day_name,poi_id,name,type,rating,vote_count,lat,lon,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min,path_type,route_path_dirs,route_path_labels,route_path_text,transfer_stop_ids,transfer_stop_names,transfer_stop_names_text,transfers,board_wait_total_min,transfer_extra_min,in_vehicle_min,transit_eta_min,eta_total_min,arrival_hhmm,open_hhmm,close_hhmm,open_days,hours_source_type,needs_review,is_open_on_day,is_open_on_arrival,can_visit_min_stay,visit_margin_min,score_eta,score_walk,score_transfers,score_operating_margin,score_rating,score_popularity,recommendation_score,recommendation_reason,scenario_id,preferred_types_text
9,HT_110,Malioboro 1,09:00,Sabtu,8,Taman Sari,Budaya dan Sejarah,4.6,27899.0,-7.809833449,110.3595117,HT_240,Tamansari,385.98033114949146,4.824754139368643,one_transfer,"['6_0', '10_0']","['6', '10']",6 > 10,['HT_120'],['Mualimin - A'],Mualimin - A,1,15.0,5.0,13.0,33.0,37.82475413936864,09:38,09:00,15:00,Setiap hari,wisata_jogja_csv,0,1,1,1,322.1752458606313,0.6483007448033293,0.5801792018796768,0.8,0.09595442380828531,0.3999999999999986,0.8839064695298944,0.5967318669144237,"ETA total 37.8 menit, 1 transit via Mualimin - A, jalan kaki akhir 386 m dari Tamansari, tiba 09:38, buka 09:00–15:00, naik 6 -> 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
10,HT_110,Malioboro 1,09:00,Sabtu,54,Museum Perjuangan,"Budaya dan Sejarah, Museum",4.5,836.0,-7.8164905,110.3718611,HT_123,Museum Perjuangan,150.05794210287348,1.8757242762859185,one_transfer,"['8_0', '2B_0']","['8', '2B']",8 > 2B,['HT_150'],['Pasty - A'],Pasty - A,1,15.0,5.0,22.0,42.0,43.87572427628592,09:44,08:00,16:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,376.12427572371405,0.5614140619279061,0.857968977032017,0.8,0.21855207837874066,0.1999999999999993,0.45293737200287454,0.5925907935191883,"ETA total 43.9 menit, 1 transit via Pasty - A, jalan kaki akhir 150 m dari Museum Perjuangan, tiba 09:44, buka 08:00–16:00, naik 8 -> 2B.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
11,HT_110,Malioboro 1,09:00,Sabtu,44,Museum Sandi,Budaya dan Sejarah,4.7,1182.0,-7.7845549,110.3711548,HT_094,Kotabaru,29.433278221830307,0.3679159777728788,2_transfers,"['1A_0', '10_0', '11_0']","['1A', '10', '11']",1A > 10 > 11,"['HT_213', 'HT_077']","['Senopati', 'KR - A']",Senopati > KR - A,2,22.5,10.0,16.833333333333332,49.33333333333333,49.70124931110621,09:50,08:00,16:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,370.29875068889373,0.4777645751794658,1.0,0.6,0.2053137364155395,0.5999999999999996,0.49546019882457065,0.5925219848955955,"ETA total 49.7 menit, 2 transit via Senopati > KR - A, jalan kaki akhir 29 m dari Kotabaru, tiba 09:50, buka 08:00–16:00, naik 1A -> 10 -> 11.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
12,HT_110,Malioboro 1,09:00,Sabtu,359,Sumur Gumuling,Budaya dan Sejarah,4.5,718.0,-7.8087911,110.3591825,HT_240,Tamansari,368.58049435759034,4.607256179469879,one_transfer,"['6_0', '10_0']","['6', '10']",6 > 10,['HT_120'],['Mualimin - A'],Mualimin - A,1,15.0,5.0,13.0,33.0,37.60725617946988,09:38,08:00,16:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,382.3927438205301,0.6514238268612758,0.6006668578823231,0.8,0.23279699600505846,0.1999999999999993,0.4342605855081695,0.5731244398538253,"ETA total 37.6 menit, 1 transit via Mualimin - A, jalan kaki akhir 369 m dari Tamansari, tiba 09:38, buka 08:00–16:00, naik 6 -> 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
1,HT_247,Terminal Jombor,09:00,Sabtu,315,Malioboro,"Buatan, Budaya dan Sejarah",4.7,3752.0,-7.7982487,110.3652793,HT_112,Malioboro 3,186.212970144772,2.32766212680965,direct,['2A_0'],['2A'],2A,[],[],,0,7.5,0.0,23.0,30.5,32.82766212680965,09:33,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,866.1723378731904,0.6934906022026565,0.7965465753785158,1.0,1.0,0.7142857142857141,0.6955097893652472,0.8082350867434667,"ETA total 32.8 menit, tanpa transit, jalan kaki akhir 186 m dari Malioboro 3, tiba 09:33, buka 00:00–23:59, naik 2A.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
2,HT_247,Terminal Jombor,09:00,Sabtu,344,Monumen Yogya Kembali,Museum,4.5,11302.0,-7.7495904,110.3696068,HT_119,Monjali - A,243.71750391416555,3.0464687989270693,direct,['2A_0'],['2A'],2A,[],[],,0,7.5,0.0,3.0,10.5,13.54646879892707,09:14,08:00,16:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,406.4535312010729,0.9997320898954221,0.7271056833814367,1.0,0.19850518391220545,0.4285714285714282,0.8433770551386246,0.8002038821449796,"ETA total 13.5 menit, tanpa transit, jalan kaki akhir 244 m dari Monjali - A, tiba 09:14, buka 08:00–16:00, naik 2A.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
3,HT_247,Terminal Jombor,09:00,Sabtu,322,Taman Lampion (Taman Pelangi),"Desa Wisata, Buatan",4.3,757.0,-7.7503631,110.3698154,HT_119,Monjali - A,242.36807825410142,3.029600978176268,direct,['2A_0'],['2A'],2A,[],[],,0,7.5,0.0,3.0,10.5,13.529600978176267,09:14,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,466.4703990218237,1.0,0.7287352126615867,1.0,0.3519217049797926,0.14285714285714232,0.4809702733101986,0.7692734409815208,"ETA total 13.5 menit, tanpa transit, jalan kaki akhir 242 m dari Monjali - A, tiba 09:14, buka 08:00–17:00, naik 2A.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
4,HT_247,Terminal Jombor,09:00,Sabtu,108,Bundaran UGM,Buatan,4.7,3535.0,-7.7760052,110.3760616,HT_194,SMPN 1 - A,164.98248529494938,2.062281066186867,one_transfer,"['2A_0', '2B_0']","['2A', '2B']",2A > 2B,['HT_077'],['KR - A'],KR - A,1,15.0,5.0,16.0,36.0,38.06228106618687,09:38,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,860.9377189338131,0.6103496127296957,0.8221839244511002,0.8,1.0,0.7142857142857141,0.6875217794935438,0.7438638097488621,"ETA total 38.1 menit, 1 transit via KR - A, jalan kaki akhir 165 m dari SMPN 1 - A, tiba 09:38, buka 00:00–23:59, naik 2A -> 2B.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
5,HT_247,Terminal Jombor,09:00,Sabtu,41,Museum Sonobudoyo Unit I,"Budaya dan Sejarah, Museum",4.6,1711.0,-7.8024499,110.3639555,HT_112,Malioboro 3,305.9128385801936,3.82391048225242,direct,['2A_0'],['2A'],2A,[],[],,0,7.5,0.0,23.0,30.5,34.32391048225242,09:34,08:00,15:30,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,355.6760895177475,0.6697258219560923,0.6520003093497886,1.0,0.06870670000874123,0.5714285714285705,0.5902411405748023,0.6583296837270614,"ETA total 34.3 menit, tanpa transit, jalan kaki akhir 306 m dari Malioboro 3, tiba 09:34, buka 08:00–15:30, naik 2A.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
6,HT_247,Terminal Jombor,09:00,Sabtu,46,Jogja National Museum,"Museum, Budaya dan Sejarah",4.6,5041.0,-7.8001175,110.3534164,HT_147,Pasar Serangan - A,142.6935420729868,1.783669275912335,one_transfer,"['9_0', '13_0']","['9', '13']",9 > 13,['HT_125'],['Ngabean'],Ngabean,1,15.0,5.0,26.0,46.0,47.78366927591234,09:48,08:00,20:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,612.2163307240877,0.4559456639097823,0.8490994387166748,0.8,0.7244808639864976,0.5714285714285705,0.7351078946315561,0.6557472083848435,"ETA total 47.8 menit, 1 transit via Ngabean, jalan kaki akhir 143 m dari Pasar Serangan - A, tiba 09:48, buka 08:00–20:00, naik 9 -> 13.",jombor_keluarga_sabtu_0900,"Buatan, Wisata Air, Museum"
