kml_stop_name,lat,lon,route_refs,description_preview
Kopma UGM,-7.774326,110.375122,3A|4B|12,3A _ Trans Jogja Tujuan / Destination => SMPN 1 - B 4B _ Trans Jogja Tujuan / Destination => MAN 1 12 _ Trans Jogja Tujuan / Destination => Kosudgama
Koramil Godean - A,-7.771013,110.306856,13,13 _ Trans Jogja Tujuan / Destination => Polsek Godean - A
Koramil Godean - B,-7.771067,110.306813,13,13 _ Trans Jogja Tujuan / Destination => Simpang Mandungan (Iwak Kalen) - B
Kosudgama,-7.77617,110.37861,2A|12,2A _ Trans Jogja Tujuan / Destination => UNY Colombo 12 _ Trans Jogja Tujuan / Destination => UNY Colombo
Kotabaru,-7.78466,110.3714,11,11 _ Trans Jogja Tujuan / Destination => Jend. Sudirman - A
KPPN,-7.801101,110.384324,2A,2A _ Trans Jogja Tujuan / Destination => Among Rogo - A
KR - A,-7.781692,110.450503,1A,1A _ Trans Jogja Tujuan / Destination => Bandara Adisutjipto
KR - B,-7.782554,110.448723,1A,1A _ Trans Jogja Tujuan / Destination => BPD Kalasan
Kricak,-7.774326,110.361168,5B|9|L-1,5B _ Trans Jogja Tujuan / Destination => Karangwaru - B 9 _ Trans Jogja Tujuan / Destination => Karangwaru - B L-1 _ Trans Jogja Tujuan / Destination => Karangwaru - B
Kridosono,-7.787321,110.375367,1A|2A|2B|3A|4A|4B|5A|5B|8|10|11|13,1A _ Trans Jogja Tujuan / Destination => AA YKPN 2A _ Trans Jogja Tujuan / Destination => UKDW 2B _ Trans Jogja Tujuan / Destination => Lempuyangan 3A _ Trans Jogja Tujuan / Destination => Eks Menara 
KS Tubun,-7.798692,110.356412,1B,1B _ Trans Jogja Tujuan / Destination => Ngabean
KUA Depok - A,-7.755546,110.433793,14,14 _Trans Jogja Tujuan / Destination => MAN 2 Sleman - A
KUA Depok - B,-7.755474,110.433873,14,14 _Trans Jogja Tujuan / Destination => SDN 1 Depok - B
Lap. Karang - A,-7.822379,110.39653,3A,3A _ Trans Jogja Tujuan / Destination => SMA N 5
Lap. Karang - B,-7.822387,110.396598,3B,3B _ Trans Jogja Tujuan / Destination => Tegal Gendu - B
Lap. Kasihan - A,-7.824988,110.328143,6,6 _ Trans Jogja Tujuan / Destination => Tamantirto - A
Lap. Kasihan - B,-7.826238,110.328992,6,6 _ Trans Jogja Tujuan / Destination => Simpang Diklat DIY - B
Lap. Klidon - A,-7.704223,110.426571,14,14 _Trans Jogja Tujuan / Destination => Kantor Kal. Sukoharjo - A
Lap. Klidon - B,-7.704147,110.426465,14,14 _Trans Jogja Tujuan / Destination => SPBU Mindi - B
Lapas Wirogunan - A,-7.803958,110.378249,4A,4A _ Trans Jogja Tujuan / Destination => Pasar Sentul
Lapas Wirogunan - B,-7.804202,110.378246,4B,4B _ Trans Jogja Tujuan / Destination => STSRD Visi Tamansiswa
Lempuyangan,-7.790441,110.373639,2B|4B|10,2B _ Trans Jogja Tujuan / Destination => Stasiun Lempuyangan 4B _ Trans Jogja Tujuan / Destination => Hayam Wuruk - B 10 _ Trans Jogja Tujuan / Destination => Stasiun Lempuyangan
Letjen Suprapto,-7.790841,110.357437,1B,1B _ Trans Jogja Tujuan / Destination => SDN Gedong Tengen
Lowanu - A,-7.81702,110.376028,3A,3A_ Trans Jogja Tujuan / Destination => UNU
Lowanu - B,-7.816813,110.376025,3B,3B _ Trans Jogja Tujuan / Destination => Museum Perjuangan
LPP,-7.783111,110.386137,1A|4B|5B,1A _ Trans Jogja Tujuan / Destination => Superindo Urip Sumoharjo 4B _ Trans Jogja Tujuan / Destination => Superindo Urip Sumoharjo 5B _ Trans Jogja Tujuan / Destination => Superindo Urip Sumoharjo
Madukismo - A,-7.828778,110.344337,6,6 _ Trans Jogja Tujuan / Destination => Simpang Diklat DIY - A
Madukismo - B,-7.828476,110.344349,6,6 _ Trans Jogja Tujuan / Destination => SMAN 1 Kasihan - B
Maguwo Sambilegi,-7.783406,110.430989,1A|1B|3A|3B|5B|14|EV1,1A _ Trans Jogja Tujuan / Destination => Bandara Adisujtipto 1B _ Trans Jogja Tujuan / Destination => Bandara Adisujtipto 3A _ Trans Jogja Tujuan / Destination => Bandara Adisujtipto 3B _ Trans Jogja 
Makam Gajah - A,-7.801959,110.387464,1B|2B,1B _ Trans Jogja Tujuan / Destination => SGM Kusumanegara - A 2B _ Trans Jogja Tujuan / Destination => SGM Kusumanegara - A
Makam Gajah - B,-7.801994,110.387399,1B|2A,1B_ Trans Jogja Tujuan / Destination => Taman Makam Pahlawan - B 2A _ Trans Jogja Tujuan / Destination => KPPN
Makam Prajurit,-7.807423,110.387956,4A,4A _ Trans Jogja Tujuan / Destination => XT Square
Makam Sorogenen,-7.783441,110.441248,1A,1A _ Trans Jogja Tujuan / Destination => KR - B
Malioboro 1,-7.790849,110.366122,1A|2A|3A|6|8|10|13|15|L-1,1A _ Trans Jogja Tujuan / Destination => Malioboro 2 2A _ Trans Jogja Tujuan / Destination => Malioboro 2 3A _ Trans Jogja Tujuan / Destination => Malioboro 2 6 _ Trans Jogja Tujuan / Destination => M
Malioboro 2,-7.795219,110.365592,1A|2A|3A|6|8|10|13|15|L-1,1A _ Trans Jogja Tujuan / Destination => Malioboro 3 2A _ Trans Jogja Tujuan / Destination => Malioboro 3 3A _ Trans Jogja Tujuan / Destination => Malioboro 3 6 _ Trans Jogja Tujuan / Destination => M
Malioboro 3,-7.7999,110.364998,1A|2A|3A|6|8|10|13|15|L-1,1A _ Trans Jogja Tujuan / Destination => Taman Pintar 2A _ Trans Jogja Tujuan / Destination => Taman Pintar 3A _ Trans Jogja Tujuan / Destination => KHA Dahlan - A 6 _ Trans Jogja Tujuan / Destination
MAN 1,-7.777133,110.373921,4B,4B _ Trans Jogja Tujuan / Destination => PDIN
MAN 2 Sleman - A,-7.75038,110.434549,14,14 _Trans Jogja Tujuan / Destination => UNRIYO - A
MAN 2 Sleman - B,-7.750414,110.434589,14,14 _Trans Jogja Tujuan / Destination => KUA Depok - B
Mandala Krida - A,-7.797506,110.383219,2A,2A _ Trans Jogja Tujuan / Destination => SMP Kanisius Gayam - A
Mandala Krida - B,-7.797481,110.383346,2B,2B _ Trans Jogja Tujuan / Destination => Among Rogo - B
Manggung,-7.758049,110.386465,2A|3A|5A,2A _ Trans Jogja Tujuan / Destination => Monjali - B 3A _ Trans Jogja Tujuan / Destination => Hokben Jakal - A 5A _ Trans Jogja Tujuan / Destination => Hokben Jakal - A
Mangkubumi 1,-7.784763,110.366863,1A|2A|8|L-1,1A _ Trans Jogja Tujuan / Destination => Mangkubumi 2 2A _ Trans Jogja Tujuan / Destination => Mangkubumi 2 8 _ Trans Jogja Tujuan / Destination => Mangkubumi 2 L-1 _ Trans Jogja Tujuan / Destination 
Mangkubumi 2,-7.787674,110.3665,1A|2A|8|L-1,1A _ Trans Jogja Tujuan / Destination => Malioboro 1 2A _ Trans Jogja Tujuan / Destination => Malioboro 1 8 _ Trans Jogja Tujuan / Destination => Eks Menara Kopi - A L-1 _ Trans Jogja Tujuan / Destina
McD,-7.779392,110.34209,8|13,8 _ Trans Jogja Tujuan / Destination => Mirota Godean - A 13 _ Trans Jogja Tujuan / Destination => Mirota Godean - A
McD Jakal,-7.76278,110.379895,3A|5A|12,3A _ Trans Jogja Tujuan / Destination => Biologi UGM 5A _ Trans Jogja Tujuan / Destination => FKG UGM - B 12 _ Trans Jogja Tujuan / Destination => Biologi UGM
Metro Nogotirto - A,-7.777692,110.334364,8|13,8 _ Trans Jogja Tujuan / Destination => Kantor Pos Demak Ijo - A 13 _ Trans Jogja Tujuan / Destination => Kantor Pos Demak Ijo - A
Metro Nogotirto - B,-7.777731,110.334347,8|13,8 _ Trans Jogja Tujuan / Destination => Kompi Senapan-C 13 _ Trans Jogja Tujuan / Destination => Kompi Senapan-C
Mirota Babarsari,-7.78326,110.414843,1A|1B|3A|5B,1A _ Trans Jogja Tujuan / Destination => Transmart 1B _ Trans Jogja Tujuan / Destination => Transmart 3A _Trans Jogja Tujuan / Destination => Transmart 5B _ Trans Jogja Tujuan / Destination => Transma
Mirota Godean - A,-7.781082,110.349717,8|13,8 _ Trans Jogja Tujuan / Destination => BKD - A 13 _ Trans Jogja Tujuan / Destination => BKD - A
Mirota Godean - B,-7.781257,110.350373,8|13,8 _ Trans Jogja Tujuan / Destination => Dentes Godean 13 _ Trans Jogja Tujuan / Destination => Dentes Godean
MM UGM,-7.76502,110.377002,3B|4A|12,3B _ Trans Jogja Tujuan / Destination => Hotel Vidi 4A _ Trans Jogja Tujuan / Destination => Polsek Bulaksumur - A 12 _ Trans Jogja Tujuan / Destination => Hotel Vidi
MMTC Yogyakarta,-7.750655,110.362263,5B|9|L-1,5B _ Trans Jogja Tujuan / Destination => Terminal Jombor 9 _ Trans Jogja Tujuan / Destination => Terminal Jombor L-1 _ Trans Jogja Tujuan / Destination => Terminal Jombor
Monjali - A,-7.750564,110.367625,2A|2B|5B,2A _ Trans Jogja Tujuan / Destination => PDAM Monjali - A 2B _ Trans Jogja Tujuan / Destination => Kentungan 5B _ Trans Jogja Tujuan / Destination => PDAM Monjali - A
Monjali - B,-7.750797,110.36875,2A|2B|5A,2A _ Trans Jogja Tujuan / Destination => Terminal Jombor 2B _ Trans Jogja Tujuan / Destination => Terminal Jombor 5A _ Trans Jogja Tujuan / Destination => Terminal Jombor
Mualimin - A,-7.807875,110.350951,6|10,6 _ Trans Jogja Tujuan / Destination => Tejokusuman 10 _ Trans Jogja Tujuan / Destination => Tejokusuman
Mualimin - B,-7.808111,110.352263,6|10,6 _ Trans Jogja Tujuan / Destination => Pasar Legi - A 10 _ Trans Jogja Tujuan / Destination => SMA Muh 3
Museum Bahari,-7.800978,110.349279,10,10 _ Trans Jogja Tujuan / Destination => Bayeman - B
