kml_stop_name,lat,lon,route_refs,description_preview
Timoho - A,-7.795313,110.392821,4A|10,4A _ Trans Jogja Tujuan / Destination => SMKN 5 - A 10 _ Trans Jogja Tujuan / Destination => SMKN 5 - A
Timoho - B,-7.796829,110.392582,4B|10,4B _ Trans Jogja Tujuan / Destination => APMD - B 10 _ Trans Jogja Tujuan / Destination => TNI AL - B
Timur Jembatan Yapah - A,-7.705049,110.43919,14,14 _Trans Jogja Tujuan / Destination => SMAN 2 Ngaglik - A
Timur Jembatan Yapah - B,-7.705018,110.439302,14,14 _Trans Jogja Tujuan / Destination => Tugu Batas Desa Yapah - B
TK BIAS,-7.724227,110.401251,12,12 _ Trans Jogja Tujuan / Destination => Simpang Palem Raya - B
TNI AL - A,-7.792319,110.390949,10,10 _ Trans Jogja Tujuan / Destination => Timoho - A
TNI AL - B,-7.792567,110.392339,10,10 _ Trans Jogja Tujuan / Destination => Tarumartani - B
Toko Saerah - A,-7.776179,110.327786,13,13 _ Trans Jogja Tujuan / Destination => Metro Nogotirto - A
Toko Saerah - B,-7.776266,110.327865,13,13 _ Trans Jogja Tujuan / Destination => Kantor Kal. Sidoarum - B
Transmart,-7.783291,110.420174,1A|1B|3A|5B,1A _ Trans Jogja Tujuan / Destination => Kanwil DJJPb 1B _ Trans Jogja Tujuan / Destination => Kanwil DJJPb 3A _ Trans Jogja Tujuan / Destination => Kanwil DJJPb 5B _ Trans Jogja Tujuan / Destination 
Tugu Adipura,-7.889221,110.327038,15,15 _ Trans Jogja Tujuan / Destination => Pasar Bantul - A
Tugu Batas Desa Yapah - A,-7.703803,110.442614,14,14 _Trans Jogja Tujuan / Destination => Timur Jembatan Yapah - A
Tugu Batas Desa Yapah - B,-7.70374,110.442649,14,14 _Trans Jogja Tujuan / Destination => Puskesmas Ngemplak - B
TVRI - A,-7.765273,110.361649,5A|9|L-1,5A _ Trans Jogja Tujuan / Destination => Karangwaru - A 9 _ Trans Jogja Tujuan / Destination => Karangwaru - A L-1 _ Trans Jogja Tujuan / Destination => Karangwaru - A
TVRI- B,-7.765401,110.361593,5B|9|L-1,5B _ Trans Jogja Tujuan / Destination => Daytrans Jl. Magelang 9 _ Trans Jogja Tujuan / Destination => Daytrans Jl. Magelang L-1 _ Trans Jogja Tujuan / Destination => Daytrans Jl. Magelang
UAD Jl. Pramuka,-7.820567,110.388587,4A|4B,4A _ Trans Jogja Tujuan / Destination => Gudang SGM - B 4B _ Trans Jogja Tujuan / Destination => Gudang SGM - B
UAD Ring Road Selatan - A,-7.835134,110.38291,,9 _ Teman Bus / Trans Jogja Tujuan / Destination => Simpang Wojo 11 _ Teman Bus / Trans Jogja Tujuan / Destination => Wojo (Randubellang) - A
UAD Ring Road Selatan - B,-7.834921,110.383268,,9 _ Teman Bus / Trans Jogja Tujuan / Destination => Terminal Giwangan 11 _ Teman Bus / Trans Jogja Tujuan / Destination => Terminal Giwangan
UII (Barat Jalan),-7.687324,110.418778,12|14,12 _ Trans Jogja Tujuan / Destination => Simpang Degolan - A 14 _ Trans Jogja Tujuan / Destination => Simpang Degolan - A
UII (Timur Jalan),-7.68778,110.418805,12|14,12 _ Trans Jogja Tujuan / Destination => YAKKUM - B 14 _ Trans Jogja Tujuan / Destination => YAKKUM - B
UIN Sunan Kalijaga - A,-7.786192,110.394844,4A,4A _ Trans Jogja Tujuan / Destination => APMD - A
UIN Sunan Kalijaga - B,-7.785907,110.394784,4B,4B _ Trans Jogja Tujuan / Destination => Gedung Wanita
UKDW,-7.785524,110.378843,2A|4A,2A _ Trans Jogja Tujuan / Destination => RS Bethesda 4A _ Trans Jogja Tujuan / Destination => RS Bethesda
UMY - A,-7.810704,110.324509,6,6 _ Trans Jogja Tujuan / Destination => Universitas BSI - A
UMY - B,-7.810899,110.324572,6,6 _ Trans Jogja Tujuan / Destination => Tamantirto - B
Universitas Aisyiyah,-7.768221,110.334536,8,8 _ Trans Jogja Tujuan / Destination => Westlake - B
Universitas Alma Ata,-7.818408,110.324131,6,6 _ Trans Jogja Tujuan / Destination => Lapangan Kasihan - B
Universitas BSI - A,-7.802699,110.325181,6,6 _ Trans Jogja Tujuan / Destination => Pasar Gamping - B
Universitas BSI - B,-7.802875,110.325265,6,6 _ Trans Jogja Tujuan / Destination => UMY - B
UNRIYO - A,-7.74633,110.434167,14,14 _Trans Jogja Tujuan / Destination => Budi Mulia Dua - A
UNRIYO - B,-7.746301,110.434216,14,14 _Trans Jogja Tujuan / Destination => MAN 2 Sleman - B
UNU,-7.819767,110.376455,3A,3A_ Trans Jogja Tujuan / Destination => Widya Wiwaha - A
UNY Colombo,-7.777757,110.386689,2A|12,2A _ Trans Jogja Tujuan / Destination => Plaza UNY 12 _ Trans Jogja Tujuan / Destination => Plaza UNY
UPN Veteran,-7.760641,110.408133,3A|5A,3A _ Trans Jogja Tujuan / Destination => Pakuwon Mall - A 5A _ Trans Jogja Tujuan / Destination => Pakuwon Mall - A
UTY Glagahsari - A,-7.805533,110.388438,4A,4A _ Trans Jogja Tujuan / Destination => Makam Prajurit
UTY Glagahsari - B,-7.805672,110.388333,4B,4B _ Trans Jogja Tujuan / Destination => Olive Glagahsari
UTY Ring Road Utara - A,-7.747257,110.356575,8,8 _ Trans Jogja Tujuan / Destination => Dusun Ngawen
UTY Ring Road Utara - B,-7.747158,110.356516,8,8 _ Trans Jogja Tujuan / Destination => Terminal Jombor
Veteran,-7.815228,110.389139,2B,2B _ Trans Jogja Tujuan / Destination => XT Square
Vokasi UGM,-7.774525,110.374977,3B|4A|12,3B _ Trans Jogja Tujuan / Destination => FKG UGM - B 4A _ Trans Jogja Tujuan / Destination => FKG UGM - B 12 _ Trans Jogja Tujuan / Destination => FKG UGM - B
Wedangan Kampoeng - A,-7.702736,110.413581,12,12 _ Trans Jogja Tujuan / Destination => Simpang Besi Jakal - A
Wedangan Kampoeng - B,-7.702816,110.413572,12,12 _ Trans Jogja Tujuan / Destination => SPBU Kaliurang - B
Westlake - A,-7.749237,110.341112,8,8 _ Trans Jogja Tujuan / Destination => Perumahan Nogotirto
Westlake - B,-7.749627,110.34083,8,8 _ Trans Jogja Tujuan / Destination => UTY Ring Road Utara - B
Widya Wiwaha - A,-7.822717,110.377625,3A,3A_ Trans Jogja Tujuan / Destination => Wirosaban
Widya Wiwaha - B,-7.822606,110.377541,3B,3B _ Trans Jogja Tujuan / Destination => Lowanu - B
Wirosaban,-7.824776,110.379247,3A,3A_ Trans Jogja Tujuan / Destination => Tegal Turi - A
Wojo (Randubelang) - A,-7.831416,110.373919,,11 _ Teman Bus / Trans Jogja Tujuan / Destination => Pasar Telo - A
Wojo (Randubelang) - B,-7.830194,110.373848,,11 _ Teman Bus / Trans Jogja Tujuan / Destination => UAD Ring Road Selatan - B
Wonocatur,-7.798619,110.406405,1B|3B,1B _ Trans Jogja Tujuan / Destination => BKPM 3B _ Trans Jogja Tujuan / Destination => BKPM
XT Square,-7.81623,110.385973,2B|4A,2B _ Trans Jogja Tujuan / Destination => Pasar Sepeda 4A _ Trans Jogja Tujuan / Destination => UAD Jl. Pramuka
YAKKUM - A,-7.695592,110.418017,12|14,12 _ Trans Jogja Tujuan / Destination => Boulevard UII 14 _ Trans Jogja Tujuan / Destination => Boulevard UII
YAKKUM - B,-7.695489,110.418121,12|14,12 _ Trans Jogja Tujuan / Destination => Wedangan Kampoeng - B 14 _ Trans Jogja Tujuan / Destination => Simpang Besi Jakal - B
